textID,review,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
508435b32d, thanks will try to behave,thanks will try to behave,positive,night,70-100,Suriname,586632,156000.0,4
de3833a81d,Today is lame because I am not in Orlando  I am soooo looking forward to NEXT friday,lame,negative,night,31-45,Morocco,36910560,446300.0,83
85a65f0656, hahahaha! i laughed my **** off just now. thanks,hahahaha! i laughed my **** off just now. thanks,positive,night,31-45,Algeria,43851044,2381740.0,18
d70ed4038d,Gahh ! This weather sucksss !,Gahh ! This weather sucksss !,negative,night,31-45,Namibia,2540905,823000.0,3
1b4d9119e9,Fallen in love with enter shikari again. Might go for a walk with the lady later.  now though,love,positive,morning,46-60,Kazakhstan,18776707,2699700.0,7
b93acb6f24, ten update away from 2000 whooo hoooo budden!,whooo hoooo,positive,morning,0-20,Jamaica,2961167,10830.0,273
1b13ed8b4b,im thinking that im going to have fun tonight....and maybe some changes are coming,going to have fun,positive,noon,60-70,Bangladesh,164689383,130170.0,1265
6481f64f52,Sitting in boring **** litterature listening to jack Johnson  missing the gf soooooooooooooooooooooooooooooooooooo much.,missing the gf soooooooooooooooooooooooooooooooooooo much.,negative,noon,60-70,Bulgaria,6948445,108560.0,64
c977dd5d35, oh but that girl  but AIDAN!,t AIDAN!,negative,noon,60-70,Armenia,2963243,28470.0,104
3a1b9cedc8,"I`ve been losing myself into too many Taiwanese dramas.... ????, ??????, ????... this is not good. XD But Wu Chun! Eeeeeee.",not good.,negative,night,31-45,Finland,5540720,304000.0,18
971e687edf,Picked up Luna from the vet. She looks like she`s been crying  I`m not kidding. Her lashes are wet and she has tear trails. My poor bebe!,My poor bebe!,negative,night,70-100,Barbados,287375,430.0,668
a53ad84961,i can`t sleep.  amp.,i can`t sleep.  amp.,negative,morning,46-60,Latvia,1886198,62200.0,30
60be4b6875,actually loves nesquik cereal,loves,positive,morning,0-20,Yemen,29825964,527970.0,56
d92bd9e860,I lost count   sorry I let u down...,sorry,negative,noon,21-30,Poland,37846611,306000.0,124
897926a787, I don`t think they sale Ciroc where I stay..****..thats just my luck,.****.,negative,morning,0-20,Turkmenistan,6031200,469930.0,13
4ec73afa55,Pissing annoying date stamp on all my pictures. Wish I`d remembered to turn it off.,annoying,negative,night,31-45,Burkina Faso,20903273,273600.0,76
b4e61f5683,im so tired  &i miss dionee already.,tired,negative,morning,46-60,Kuwait,4270571,17820.0,240
